case_id,expected,extracted,resolved,validated,postgres,age,failure_stage
C-002,E-d697c0b5 -> E-1cce2317,YES,YES,NO,NO,NO,Validation
C-002,E-083b79df -> E-a2d14e6a,YES,YES,NO,NO,NO,Validation
C-002,E-efba3695 -> E-44257817,YES,YES,NO,NO,NO,Validation
C-002,E-efba3695 -> E-8c8d8f16,YES,YES,NO,NO,NO,Validation
C-005,E-aa146150 -> E-a80a415a,YES,YES,NO,NO,NO,Validation
C-005,E-02699e2d -> E-93aba19c,YES,YES,NO,NO,NO,Validation
C-005,E-da78eb57 -> E-878d6478,YES,YES,NO,NO,NO,Validation
C-006,E-99c627d3 -> E-4ea1d9bf,YES,YES,NO,NO,NO,Validation
C-006,E-26b4bf8c -> E-ff3604a0,YES,YES,NO,NO,NO,Validation
C-006,E-535d1951 -> E-f2338762,YES,YES,NO,NO,NO,Validation
C-006,E-cadcf84f -> E-ff3604a0,YES,YES,NO,NO,NO,Validation
C-006,E-cadcf84f -> E-41e081b5,YES,YES,NO,NO,NO,Validation
C-008,E-5176589c -> E-000b4db9,YES,YES,NO,NO,NO,Validation
C-008,E-000b4db9 -> E-9744ba80,YES,YES,NO,NO,NO,Validation
C-008,E-33ee984a -> E-5176589c,YES,YES,NO,NO,NO,Validation
C-008,E-5176589c -> E-8a71091d,YES,YES,NO,NO,NO,Validation
C-008,E-5176589c -> E-582d0d41,YES,YES,NO,NO,NO,Validation
C-008,E-78e03545 -> E-9744ba80,YES,YES,NO,NO,NO,Validation
C-009,E-4c2cecb2 -> E-7b26c4be,YES,YES,NO,NO,NO,Validation
C-009,E-acbdaeb0 -> E-72b638a7,YES,YES,NO,NO,NO,Validation
C-009,E-0e4e3720 -> E-8460d0d3,YES,YES,NO,NO,NO,Validation
C-009,E-4c2cecb2 -> E-418c2c4d,YES,YES,NO,NO,NO,Validation
C-009,E-418c2c4d -> E-64b3a2b6,YES,YES,NO,NO,NO,Validation
C-009,E-4c2cecb2 -> E-9e8add79,YES,YES,NO,NO,NO,Validation
C-009,E-0bbb341c -> E-4a1ed03a,YES,YES,NO,NO,NO,Validation
C-010,E-52c29d59 -> E-ff72a31b,YES,YES,NO,NO,NO,Validation
C-010,E-6cd09490 -> E-f54954ab,YES,YES,NO,NO,NO,Validation
C-010,E-c45bf367 -> E-f54954ab,YES,YES,NO,NO,NO,Validation
C-010,E-f54954ab -> E-e609f422,YES,YES,NO,NO,NO,Validation
C-010,E-f6c30f58 -> E-9988c712,YES,YES,NO,NO,NO,Validation
