source_type,relationship_type,target_type,supported
CASE,LOCATED_AT,LOCATION,False
PERSON,ASSOCIATED_WITH,CASE,False
PERSON,INVOLVED_IN,PERSON,False
PERSON,INVOLVED_IN,PERSON,False
ORGANIZATION,LOCATED_AT,LOCATION,False
ORGANIZATION,INVOLVED_IN,PERSON,False
ORGANIZATION,COMMUNICATES_WITH,ORGANIZATION,False
ORGANIZATION,OWNS,ORGANIZATION,False
ORGANIZATION,INVOLVED_IN,ORGANIZATION,False
ORGANIZATION,OWNS,ORGANIZATION,False
ORGANIZATION,COMMUNICATES_WITH,PERSON,False
ORGANIZATION,INVOLVED_IN,PERSON,False
PERSON,USES,PERSON,False
ORGANIZATION,COMMUNICATES_WITH,ORGANIZATION,False
PERSON,INVOLVED_IN,PERSON,False
