case_id,relationship_id,source,type,target,status,confidence
C-002,TEST-R-4db842f5,E-d697c0b5,ASSOCIATED_WITH,E-1cce2317,CONFIRMED,1.0
C-002,TEST-R-55c07519,E-efba3695,COMMUNICATES_WITH,E-8c8d8f16,CONFIRMED,1.0
C-005,TEST-R-627f41fe,E-02699e2d,ASSOCIATED_WITH,E-93aba19c,CONFIRMED,1.0
C-006,TEST-R-d55dea06,E-99c627d3,ASSOCIATED_WITH,E-4ea1d9bf,CONFIRMED,1.0
C-006,TEST-R-e5fabc8a,E-cadcf84f,ASSOCIATED_WITH,E-41e081b5,CONFIRMED,1.0
C-006,TEST-R-fd368612,E-cadcf84f,LOCATED_AT,E-ff3604a0,CONFIRMED,1.0
C-008,TEST-R-98714c0e,E-5176589c,ASSOCIATED_WITH,E-582d0d41,CONFIRMED,1.0
C-008,TEST-R-b6d316ad,E-5176589c,ASSOCIATED_WITH,E-8a71091d,CONFIRMED,1.0
C-009,TEST-R-1472026b,E-4c2cecb2,ASSOCIATED_WITH,E-7b26c4be,CONFIRMED,1.0
C-009,TEST-R-8fb2cf26,E-418c2c4d,LOCATED_AT,E-64b3a2b6,CONFIRMED,1.0
C-009,TEST-R-cf384fed,E-0bbb341c,ASSOCIATED_WITH,E-4a1ed03a,CONFIRMED,1.0
C-009,TEST-R-f9fb8444,E-4c2cecb2,ASSOCIATED_WITH,E-9e8add79,CONFIRMED,1.0
C-010,TEST-R-7b695508,E-6cd09490,ASSOCIATED_WITH,E-f54954ab,CONFIRMED,1.0
C-010,TEST-R-8532d6e6,E-52c29d59,ASSOCIATED_WITH,E-ff72a31b,CONFIRMED,1.0
C-010,TEST-R-9cfeeda4,E-c45bf367,ASSOCIATED_WITH,E-f54954ab,CONFIRMED,1.0
