concept_id,concept_type,parent,description,domain,range,inverse,symmetric,transitive,temporal,direct/event_mediated,status
netra:Entity,Entity,,Base domain object.,,,,,,,,CONFIRMED
netra:Actor,Entity,netra:Entity,An entity capable of action.,,,,,,,,CONFIRMED
netra:Person,Entity,netra:Actor,A human being.,,,,,,,,CONFIRMED
netra:Organization,Entity,netra:Actor,A formal group or agency.,,,,,,,,CONFIRMED
netra:Group,Entity,netra:Actor,An informal collective or syndicate.,,,,,,,,CONFIRMED
netra:DigitalObject,Entity,netra:Entity,Cyber/digital entity.,,,,,,,,CONFIRMED
netra:Identifier,Entity,netra:DigitalObject,"Phone, Email, IP, MAC.",,,,,,,,CONFIRMED
netra:DigitalIdentity,Entity,netra:DigitalObject,Persona or username.,,,,,,,,CONFIRMED
netra:DigitalAsset,Entity,netra:DigitalObject,"Crypto, domain name, digital property.",,,,,,,,CONFIRMED
netra:Account,Entity,netra:DigitalObject,"Bank, Crypto, or Social Media account.",,,,,,,,CONFIRMED
netra:Device,Entity,netra:DigitalObject,"Mobile, Computer, IoT.",,,,,,,,CONFIRMED
netra:PhysicalObject,Entity,netra:Entity,Material entity.,,,,,,,,CONFIRMED
netra:Vehicle,Entity,netra:PhysicalObject,Mode of transport.,,,,,,,,CONFIRMED
netra:Weapon,Entity,netra:PhysicalObject,Instrument for physical harm.,,,,,,,,CONFIRMED
netra:Document,Entity,netra:PhysicalObject,Physical paperwork or ID.,,,,,,,,CONFIRMED
netra:Asset,Entity,netra:PhysicalObject,Valuable physical item.,,,,,,,,CONFIRMED
netra:Property,Entity,netra:PhysicalObject,"Real estate, land, or buildings.",,,,,,,,CONFIRMED
netra:Location,Entity,netra:Entity,Physical or Digital place.,,,,,,,,CONFIRMED
netra:Event,Event,,A bounded occurrence in time.,,,,,,,,CONFIRMED
netra:CommunicationEvent,Event,netra:Event,Exchange of information between entities.,,,,,,,,CONFIRMED
netra:FinancialTransaction,Event,netra:Event,Movement of financial value.,,,,,,,,CONFIRMED
netra:PhysicalMovement,Event,netra:Event,Relocation of an entity.,,,,,,,,CONFIRMED
netra:CyberAction,Event,netra:Event,Interaction with infrastructure.,,,,,,,,CONFIRMED
netra:CriminalIncident,Event,netra:Event,The core crime event.,,,,,,,,CONFIRMED
netra:SAME_AS,Relationship,,Exact real-world identity equivalence. Not for shared identifiers.,netra:Entity,netra:Entity,,True,True,False,Direct,CONFIRMED
netra:POSSIBLY_SAME_AS,Relationship,,Algorithmic candidate for identity equivalence.,netra:Entity,netra:Entity,,True,False,False,Direct,CONFIRMED
netra:ALIAS_OF,Relationship,,Nomenclature equivalence (A is known as B).,netra:Actor|netra:DigitalIdentity,netra:Actor|netra:DigitalIdentity,,True,False,False,Direct,CONFIRMED
