v1_assertions,v1_needs_review,baseline_entities,cross_case_links_after,v1_entities,baseline_assertions,baseline_rejected,v1_rejected,baseline_needs_review,case_id,v1_confirmed,baseline_confirmed,cross_case_links_before
0,0,0,0,0,0,0,0,0,C-001,0,0,0
6,1,7,0,7,6,2,4,0,C-002,1,4,0
0,0,0,0,0,0,0,0,0,C-003,0,0,0
0,0,0,0,0,0,0,0,0,C-004,0,0,0
4,0,6,0,6,4,2,4,0,C-005,0,2,0
8,1,8,0,8,8,2,5,0,C-006,2,6,0
0,0,0,0,0,0,0,0,0,C-007,0,0,0
8,0,7,0,7,8,4,5,0,C-008,3,4,0
11,2,11,0,11,11,3,6,0,C-009,3,8,0
8,2,8,0,8,8,2,3,0,C-010,3,6,0
