case_id,baseline_entities,v1_entities,baseline_assertions,v1_assertions,baseline_confirmed,v1_confirmed,baseline_needs_review,v1_needs_review,baseline_rejected,v1_rejected,baseline_age_edges,v1_age_edges,provenance_complete_before,provenance_complete_after,cross_case_links_before,cross_case_links_after
C-001,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,0
C-002,7,7,6,6,4,2,0,0,2,4,4,2,Yes,Yes,0,0
C-003,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,0
C-004,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,0
C-005,6,6,4,4,2,0,0,0,2,4,2,0,Yes,Yes,0,0
C-006,8,8,8,8,6,3,0,0,2,5,6,3,Yes,Yes,0,0
C-007,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,0
C-008,7,7,8,8,4,3,0,0,4,5,4,3,Yes,Yes,0,0
C-009,11,11,11,11,8,5,0,0,3,6,8,5,Yes,Yes,0,0
C-010,8,8,8,8,6,5,0,0,2,3,6,5,Yes,Yes,0,0
