relationship,case_id,baseline_status,v1_status,reason_for_change
PERSON -> ASSOCIATED_WITH -> PERSON,C-002,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
PERSON -> ASSOCIATED_WITH -> PERSON,C-002,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
CASE -> LOCATED_AT -> LOCATION,C-002,REJECTED,REJECTED,No change
PERSON -> COMMUNICATES_WITH -> PERSON,C-002,CONFIRMED,CONFIRMED,No change
PERSON -> COMMUNICATES_WITH -> PERSON,C-002,CONFIRMED,CONFIRMED,No change
PERSON -> ASSOCIATED_WITH -> CASE,C-002,REJECTED,REJECTED,No change
PERSON -> INVOLVED_IN -> PERSON,C-005,REJECTED,REJECTED,No change
ORGANIZATION -> ASSOCIATED_WITH -> PERSON,C-005,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
ORGANIZATION -> ASSOCIATED_WITH -> PERSON,C-005,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
PERSON -> INVOLVED_IN -> PERSON,C-005,REJECTED,REJECTED,No change
PERSON -> ASSOCIATED_WITH -> PERSON,C-006,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
PERSON -> ASSOCIATED_WITH -> PERSON,C-006,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
ORGANIZATION -> LOCATED_AT -> LOCATION,C-006,REJECTED,CONFIRMED,VALID_DIRECT_REL
ORGANIZATION -> INVOLVED_IN -> PERSON,C-006,REJECTED,REJECTED,No change
PERSON -> ASSOCIATED_WITH -> PERSON,C-006,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
PERSON -> ASSOCIATED_WITH -> PERSON,C-006,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
PERSON -> LOCATED_AT -> LOCATION,C-006,CONFIRMED,CONFIRMED,No change
PERSON -> LOCATED_AT -> LOCATION,C-006,CONFIRMED,CONFIRMED,No change
ORGANIZATION -> ASSOCIATED_WITH -> PERSON,C-008,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
ORGANIZATION -> ASSOCIATED_WITH -> PERSON,C-008,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
ORGANIZATION -> ASSOCIATED_WITH -> PERSON,C-008,CONFIRMED,REJECTED,"Target type 'netra:Person' invalid for 'netra:AFFILIATED_WITH'. Allowed: ['netra:Organization', 'netra:Group']"
